10846,89190,22632,53340,9980,10751,25652,13882,19046,7412,27738,36105,58145,97132,49213,12406,35842,55829,31563,40205,13413,145182,102457,24893,55753,21040,22482,32249,64982,56613,31241,14583,146797,40804,131386,74487,23835,10501,74527,3972,135499,40085,8686,27323,70183,45028,13099,48500,15891,33934,27410,208505,27192,63661,44166,39610,32725,175841,53231,106774
3636,2701,4364,1999,2491,4153,5434,2060,2388,2691,2358,5639,2168,2679,1668,1501,1664,7327,5540,2169,1926,2475,2650,2292,2529,2421,2803,2734,2384,7240,5476,3231,6864,5939,2014,2989,5179,1428,3182,3092,1518,1367,13481,646,674,776,594,886,860,835,947,936,884,786,732,644,868,813,560,450
3285,8069,3998,2466,2277,4209,2358,1480,1698,1416,1822,2577,2370,3023,1991,2899,3928,2215,3799,2525,1738,2696,2995,1566,3035,2929,1767,3886,3145,2243,3755,3940,4980,3389,5333,2551,2633,1566,1833,2592,1590,4032,4474,2671,3860,3814,2966,2929,1321,4174,5967,9868,5947,6997,5124,2662,856,3992,5235,2084
2367,2727,2709,3135,2740,5754,3153,4238,3058,5696,5258,7949,10615,8109,5608,8482,5619,8800,4436,7986,4243,2801,5033,4256,6132,5263,6034,6859,5491,8909,4391,4997,6119,4999,3020,6695,4151,6860,8310,5323,11272,11128,6604,17435,12061,11530,9464,13390,10081,16889,8177,9745,14542,7042,16253,9777,7580,17100,15068,6591
39329,91302,86709,46602,70912,113577,60536,70620,35471,53124,68334,63442,69070,71697,44819,17721,14712,7847,8496,14532,8399,7042,5698,21199,14916,12344,14785,12189,8655,7870,8405,7006,6364,5736,14046,72309,60930,169203,7762,5222,91747,27115,12891,10801,8352,7578,23736,23506,9099,21938,8854,6805,7265,4656,46575,29810,22627,22434,8867,15389
2115,2286,2574,2903,2560,3411,4272,5034,3329,3607,4081,4066,4441,3035,5184,5465,3809,3797,2560,4381,2790,2076,1802,3503,2939,3211,3767,3329,2369,3828,2579,3138,3196,2900,4197,3935,4396,8767,3989,2724,4709,11008,13002,6340,4843,4121,4600,7090,3348,3456,2322,1673,3481,2624,6727,2578,3886,5927,3940,5485
5005,5257,2919,5119,4326,3248,4297,5096,3991,5853,4603,10394,5309,5001,7150,7738,9798,2536,4793,5284,6457,6429,5350,5217,4355,5241,3314,3254,3642,2569,4777,4121,6391,5135,4050,4384,3999,3612,4554,5196,9625,10220,6297,6033,8573,4847,8794,8943,8595,12947,12211,9745,16778,11620,13400,8270,8826,9296,13997,14507
6302,8098,17636,23451,34714,43743,17316,29705,17052,20348,38772,30686,37328,39137,20915,8471,9509,4420,5091,7968,5127,4330,3229,16958,7700,12082,10100,7613,4891,4428,5075,3918,3915,3436,5633,36659,26773,70425,4234,2657,31222,13857,12257,4344,4730,3514,15291,15137,5894,16712,7039,4542,4890,2696,17494,12574,11889,10799,3876,7683
3877,2567,2925,2598,1833,2294,3819,5172,4167,4285,3242,6863,6448,5840,5558,4949,2865,4317,2788,5190,4214,4091,3382,5594,2079,2348,2477,4183,3562,4376,2772,5562,5606,5379,6202,5867,7597,5315,5728,8709,7198,9667,12354,11452,6487,5582,5785,8323,4545,4289,4337,7825,10868,9014,8967,3086,5802,6733,8579,9028
688240,89900,107025,51776,493572,1241734,598067,1096101,146069,1064471,50711,1219588,613814,234462,267254,981684,203252,728201,855607,528898,181178,475325,165904,494510,50625,141265,19360,40356,289923,738236,847255,881906,484465,273865,896076,1000770,160648,990070,337434,105847,909979,805547,12319,165685,104655,139818,838831,469939,749896,269415,656196,165694,873727,575013,564238,488216,254803,533197,1150267,383558
10209,5163,10414,7387,2315,5161,4557,2333,3306,8674,7899,7334,5385,9051,13977,12736,9770,4956,1805,3674,4607,12190,10032,28838,19075,6116,7544,13674,8192,4997,1834,4756,12979,13606,15521,13028,18579,16156,15557,4270,15596,18322,13928,11726,1815,1833,2278,1456,5774,6306,3215,4279,4359,10594,5817,3726,8242,7027,10461,14043
3793,4746,3980,6168,4537,4368,3865,4756,3825,5783,5677,10016,5952,5589,5300,4934,3509,3355,2749,3556,3444,3685,2562,3643,5029,3590,2172,3121,3399,3403,2730,4536,3070,2943,3129,3476,3466,2823,4158,6642,5657,6135,1792,2938,2812,3101,4372,3766,4327,4652,4154,3914,2773,5123,3818,2703,5203,4299,4147,6229
11843,10070,5935,6530,1842,10002,3212,1758,4119,9138,14268,12766,11307,7921,11167,6700,4969,11684,1955,3863,5095,7842,9430,14265,14709,7388,8354,11996,9274,11499,1961,7104,17625,10407,13609,3097,13591,8970,10210,4998,17395,16221,8916,9891,2060,2124,2861,1292,11535,6908,3193,7169,7284,8563,8156,5766,9007,10571,10445,14199
3449,4890,4574,5775,3310,3387,4648,3641,3422,3852,5104,4928,5063,4845,4681,2473,3916,2161,4095,3140,4285,2323,3793,4976,5477,3578,3553,3610,3473,2172,4064,3437,4717,2425,2813,3602,3606,4793,4590,5744,6437,5611,454,4323,4670,4947,5370,5332,6557,5440,3551,3365,3413,4711,5009,3765,3973,4964,4239,9499
8472,11817,7586,13154,1695,9986,10380,3392,7540,20433,17697,17900,14228,15855,31545,13103,19173,26500,6760,7136,6885,18446,27718,23711,19665,15151,22546,38157,66514,26845,6730,11960,17207,10021,20133,16831,23471,15694,17875,6809,23557,19797,16778,18812,4007,5818,16295,30575,11751,15590,3888,13744,13213,15014,16135,10618,11905,11926,13092,20432
3067,7078,4064,5268,4476,3680,4812,5252,4022,6035,4913,6252,5892,6573,7151,5023,5137,3441,3686,7184,5720,3842,4207,5196,3961,2389,2189,3857,3949,3414,3702,5288,3634,4112,2877,6921,3892,4218,5266,3292,5776,5078,5649,5387,5860,4526,3582,3861,2902,5357,2857,5045,3212,7979,8689,4696,5655,7959,10067,6543
7327,6283,4165,3070,932,3808,3218,2434,3901,6850,3605,9123,5162,3824,3955,4766,4757,4984,4329,4145,6590,5585,4891,6425,5964,3450,3077,4753,6016,5048,4279,6646,11744,1346,3516,7736,3405,2736,1172,2900,8651,8695,5425,11396,2434,3563,3796,5978,5130,5970,5881,6230,3462,4484,4628,6438,9304,9022,17749,10857
3511,4803,6094,4164,4901,3985,3970,3208,4502,5429,4709,5235,4893,6107,4311,3081,3552,3467,3550,6293,6905,3850,3448,5589,4695,2068,2048,3452,2954,3496,3508,3644,5631,5586,4812,6370,4515,4952,5398,6420,3185,6042,16324,3088,2820,1626,4067,2797,2603,3122,3498,3913,2237,2626,2657,2234,3647,4925,6876,6853
375,488,933,579,1109,536,586,601,929,969,517,691,495,515,616,414,628,361,295,297,325,314,165,122,353,132,247,193,236,366,308,991,620,414,760,1260,733,741,535,1513,1497,1304,1470,1556,779,771,624,613,995,657,699,270,615,536,880,649,603,371,566,678
422,483,794,371,290,288,681,782,253,610,1224,1218,391,490,1087,385,902,349,298,564,507,1261,596,688,1123,1741,890,763,285,349,298,679,448,599,981,1282,680,760,1671,1847,785,733,1466,623,798,1406,3526,2485,1113,1471,2073,573,1289,1637,761,155,507,772,583,1043
789,1225,1891,1344,1592,1862,633,750,793,613,1082,677,1750,682,650,596,452,308,598,1077,304,289,575,357,755,235,385,1385,279,308,598,455,375,195,184,339,555,435,808,2243,1254,1969,1258,762,3895,1193,1370,1029,516,606,926,321,1670,991,533,483,623,396,557,1148
1943,6470,1971,2431,4879,2791,5210,3148,2802,4219,2101,968,2514,758,2354,1145,2057,166,178,2042,1107,1471,2227,1994,2093,1675,552,561,378,172,194,1141,2051,3355,1376,2878,2964,3596,12352,6094,6836,1699,0,8425,3180,2905,1776,4023,3420,1702,3752,3022,6366,850,500,766,446,1470,2397,1435
573,894,1225,1000,1205,2535,1240,3729,913,1973,2712,2096,982,801,360,315,492,361,651,562,951,3152,2850,858,1685,1228,975,3888,631,358,688,978,723,2089,1061,944,1088,2051,4016,3018,5596,4059,0,5839,2720,2675,2241,1430,2969,1511,1327,2509,461,1000,447,948,767,931,586,333
1718,3030,6277,2743,3916,1941,1880,3084,2399,2247,3308,3682,3605,3933,2119,2223,1954,1583,1430,1416,810,955,991,886,2814,2907,2404,1720,1422,1583,1430,1336,2159,1900,989,1413,1881,1729,1193,3340,2987,2067,2999,2095,2309,1791,1700,1130,772,2181,1013,1443,2514,3375,1382,2079,3085,1607,3183,4101
517,424,908,1238,1224,777,789,562,1795,1155,925,612,608,682,636,579,487,477,424,263,355,425,252,248,140,178,460,709,874,484,447,397,698,1288,711,543,635,421,1066,965,313,733,478,988,1241,543,1900,796,812,633,377,187,297,325,348,302,360,311,391,399
697,846,683,2192,1561,1613,1528,572,1172,2244,1961,1097,4298,1524,1716,1289,3573,203,358,1178,1383,363,1489,467,425,519,421,1097,388,203,358,405,1038,1230,1019,1088,662,1397,1025,1547,1959,1310,577,2035,762,993,1231,1397,756,629,602,1295,584,605,670,367,666,421,849,581
452,2648,2263,3739,2915,562,660,1018,1005,4151,3477,1137,2131,1970,6830,540,2266,3808,2362,1045,1716,431,3836,5694,1797,709,1737,632,5624,3808,2362,2708,1634,2946,1433,1204,1444,3823,2890,5885,2599,1622,4861,2205,3918,8931,5019,12496,2067,2869,11343,643,3543,7136,3517,2629,3806,1417,3391,1455
781,1707,3113,3466,4244,3823,1802,1166,2105,4104,3480,1020,404,899,1144,244,796,816,353,862,1616,1513,1818,2420,2045,960,1579,924,753,881,348,468,973,858,971,1948,8048,4776,4076,3142,3123,4825,0,5835,3847,2038,2470,2749,4102,2580,1329,1573,5099,1639,969,2169,984,1531,628,350
516,685,379,965,1861,1264,762,625,505,940,619,647,474,1502,1183,203,617,203,409,313,780,872,739,686,643,500,2058,1279,288,265,402,1050,2016,706,682,846,1586,1091,68,333,2050,492,0,731,883,1122,3699,3216,3262,4340,2470,1912,3264,485,316,285,201,637,791,305
1861,3180,1903,2353,2492,6041,6285,2712,4560,4886,5782,1918,4437,3009,2313,2940,2427,2624,3060,6231,2812,1331,1988,2260,3431,2112,1763,2082,2520,2624,3060,2576,3794,2720,1157,5352,2480,6083,4334,3625,4669,5811,7203,1194,1360,2323,1869,2394,2021,1373,5459,2516,1936,4955,3549,5966,3606,1709,2549,4904
427,948,896,666,1135,2246,972,1177,1187,1801,1373,1780,1907,1118,1142,527,595,363,437,555,472,414,610,607,1012,332,334,718,749,367,440,758,1049,1123,689,809,710,534,550,1004,626,574,1674,312,231,951,764,453,484,342,357,273,329,588,361,241,317,505,665,709
991,661,575,1182,1830,998,1560,2300,1214,1654,2881,451,1499,2435,5043,1959,1919,474,275,448,905,591,847,894,740,1620,1143,1117,647,474,275,446,1003,423,514,579,607,540,1298,2108,993,1692,7403,3290,821,1089,1378,2039,2276,828,2336,1354,3238,6813,1749,815,1722,506,768,1545
531,315,1069,2960,5205,1319,2132,926,738,931,604,3322,2688,437,604,536,491,1026,1095,734,1255,508,1989,1509,1864,948,1268,2812,1152,1026,1095,572,635,509,319,1092,525,707,4638,710,442,1591,2529,1606,1226,1280,1344,4289,3058,1673,926,1507,890,1174,1117,1176,702,734,1607,749
1123,1939,875,815,758,503,1307,1306,938,1077,786,1707,1377,1705,1421,713,1074,471,720,761,721,725,976,896,708,718,366,1018,554,455,734,593,1040,934,1117,728,702,695,686,1093,1081,896,0,635,406,693,963,480,408,378,731,223,561,581,631,330,790,1199,889,1118
708,947,771,563,296,302,340,347,473,550,456,676,480,620,664,272,570,98,293,192,298,388,296,236,191,462,147,480,177,108,296,276,652,516,369,569,479,645,768,1039,769,783,0,423,365,615,477,395,203,213,393,197,378,414,503,362,654,751,368,335
3594,3149,3215,3349,5723,7809,6899,3317,1777,2706,1882,1128,8165,3208,6096,1046,1459,1773,2175,1143,1706,1409,3382,1426,1041,2481,1297,3418,2137,1773,2175,2734,2205,1970,805,2834,1636,1957,3923,5311,2833,5569,223,4637,3126,1925,1959,4751,3577,1410,4600,1300,1191,8216,2858,2089,1962,1209,2565,2197
0,75,101,93,134,142,115,116,96,105,87,108,155,154,165,89,102,602402,45543,68,83,67,69,57,51,81,65,58,316754,609683,45246,24841,68390,60761,49969,6685,179228,423072,189138,371825,583154,541015,11442,473434,184844,184688,620523,251338,582495,124934,140506,221149,303361,41429,359228,520009,588619,337437,713449,662534
40491,43578,59089,55246,61881,45334,43283,10006,34636,23644,14600,34537,39496,30295,102416,38557,68600,26837,20408,27759,9669,13842,20199,19837,20945,29872,15431,15206,42201,23895,22375,11429,10590,5458,44401,1965,153793,85754,41101,40710,113916,82778,5938,66267,30604,27609,58469,22796,125488,92084,4211,6931,8380,53772,45343,61089,28733,33731,82917,29168
9169,26820,7098,5999,8188,5643,5620,10110,12576,15621,21084,13292,10442,14317,15796,13123,9336,7722,5287,8183,9762,10567,5552,12694,13421,8361,9992,5726,9228,7682,5259,10392,13917,6929,5624,7596,5043,4813,8585,7511,13689,11643,13746,7680,10078,12636,22576,13363,12726,13282,9220,10394,10150,6228,7516,5963,7582,8775,9728,6894
494,716,544,669,590,648,760,919,669,856,1206,779,850,773,885,1218,1167,872,990,1232,1031,1081,1096,1100,869,477,864,856,643,837,978,1078,1340,1362,1535,1201,791,962,969,1266,1035,1377,312,694,795,698,940,1103,1118,1046,701,821,769,1246,1113,1495,1461,1069,1163,941
494,1441,1180,2570,1829,1212,984,1567,1379,1996,1187,1365,1003,1241,1373,1454,1616,1537,1890,2154,2329,1849,2273,2453,1559,1854,1479,1523,1270,1551,1890,2009,2094,1963,1608,2054,1099,1123,1308,1435,1580,1359,554,1455,1247,1549,1458,2198,2256,2523,1803,994,1094,1443,1348,1715,995,2307,1585,936
330,377,363,294,186,279,259,302,279,474,840,668,781,603,508,200,305,512,335,401,250,407,341,512,580,337,264,310,405,524,350,517,419,571,208,366,552,370,530,634,624,791,91,247,259,299,426,380,343,322,400,127,263,270,414,252,285,355,332,323
573,1008,643,1341,520,591,1272,675,933,1193,1682,2188,2075,2931,1830,628,463,766,1370,1142,1033,3542,1326,2762,1835,1143,2410,1207,657,789,1357,1879,3055,2402,1093,1297,1877,625,3479,4153,4122,2709,624,2392,1253,652,1594,618,1767,2572,3638,632,431,1042,1262,912,1604,667,1512,1060
12484,63580,27311,60988,35379,38842,61296,62151,27549,51248,60337,79487,106756,402013,121984,37425,46425,293980,67619,37076,96406,95933,122114,110718,186005,136518,303085,162249,179380,303852,66944,64075,134667,160051,120406,36442,128611,48210,467545,75738,349651,118687,6199,49199,62441,44758,134616,64866,67108,211629,254739,31573,28839,46124,61194,58770,51474,27930,135893,145767
308,371,329,189,213,220,263,408,320,496,409,506,520,574,424,264,345,415,448,369,429,539,395,425,524,325,342,414,399,417,457,803,886,833,529,496,639,611,846,911,775,598,483,553,555,438,562,505,523,638,680,542,554,447,548,485,523,673,703,488
588,811,646,1462,704,714,1110,818,856,1464,555,857,569,746,190,271,209,1235,1112,980,951,1677,2057,1921,1392,775,1284,1094,885,1176,1104,1061,1939,1185,423,959,1660,729,927,1682,2458,1022,342,1157,1549,809,1109,1864,1381,1259,1643,1550,689,890,1097,1637,1057,1213,3590,2332
10419,10834,7471,22042,4552,7197,23952,23352,18660,11561,3290,11439,2359,5953,1974,1621,2035,102005,128991,23334,56395,94698,42855,74817,22961,10697,31746,47419,58069,103796,128008,74729,45069,196366,25337,19001,84209,39360,19958,46737,44154,56967,9223,32590,40540,22300,576058,86050,269831,84022,450442,54115,236882,16828,26674,44230,57403,78708,56696,49850
0,0,0,0,0,0,0,0,0,0,1842,3212,2044,1964,3461,2487,3983,4121,4746,3647,5748,7505,5399,6591,4066,1221,3481,1337,2438,4096,4727,3575,4897,5165,3293,3303,4389,2579,4262,3170,3167,2273,2287,6129,4942,4653,3707,3506,2162,2200,2908,1955,2514,2694,2139,2574,3745,3372,3242,3532
4294,24006,111271,62014,160887,21431,116976,34471,109444,64539,49537,39400,33597,41797,34407,69225,68716,10312,24478,29149,35189,49699,19410,34569,14300,13992,18788,4830,14357,10437,24246,42652,72313,45607,40193,31401,18266,39128,26482,17965,15102,30555,22187,10405,57324,31730,11105,37235,31436,12340,5933,5486,9708,55957,24726,8342,19810,20364,10773,7394
262,28335,14439,18476,18605,18368,6142,27386,11380,14351,12823,10401,8729,10985,18317,6236,8742,10670,13686,11989,14917,11369,19690,14186,16393,2449,10256,829,4155,10557,13997,10845,4968,19185,26007,30907,20863,10501,28538,26785,16065,24265,14517,17330,10512,10834,21177,15364,22915,12988,30653,9523,9200,13204,14271,6280,7486,14018,18158,11175
805,1380,1183,1401,2094,1162,2622,2080,850,589,814,420,385,356,457,491,743,1476,906,800,1484,1994,1794,2269,1982,1219,1813,1243,1432,1478,909,2454,4003,3382,4196,3507,2578,2921,2615,3671,1783,1701,3712,1908,2367,1798,3079,5204,2517,4274,4215,2097,2216,3720,4038,2442,4239,4580,4046,2940
4251,3645,3799,4994,2547,4722,5454,4935,4124,2835,3436,3600,3411,3885,4402,4166,4307,4132,5100,3355,3834,3607,5260,3918,3335,2116,4259,4309,4396,4107,5082,4456,4313,3590,2406,3464,3067,3347,1933,3306,4149,3387,2152,4896,2804,3365,3145,3756,3710,3685,4627,3909,2474,3903,4412,4205,3775,3988,3758,3138
5854,0,8908,12834,6996,10254,9662,9322,17849,16848,18917,8115,6952,18782,19507,18578,13040,8704,11886,7756,5493,21073,14563,11923,12718,6793,8108,9150,5996,8770,11748,10186,13708,10988,12978,15738,5521,8597,13144,22172,13808,23311,19030,31465,18300,18714,21375,25262,37651,23395,18151,14422,8403,18985,17056,21307,17678,20279,20918,21711
953,1665,979,598,736,1274,2276,1673,1990,2085,1746,1324,1396,1507,1665,1480,1605,1638,2443,1772,2539,2876,2379,2304,2813,1260,1810,1068,1545,1599,2451,2893,4201,4422,5277,3906,2528,2744,2538,3131,2331,3974,19551,2536,1792,1787,1736,3416,3109,2710,3228,2231,2932,3462,3492,2668,3237,3488,4230,4224
2959,4233,2869,3451,3100,3820,2998,4229,3758,3874,3982,3403,3294,4666,3954,4145,4615,3449,3264,3436,3273,3539,4167,4598,3981,3334,3911,2745,3547,3380,3303,3984,4305,2777,4044,4027,4131,4343,4148,3354,3585,3150,9659,3543,3380,3154,3309,2865,2761,1995,2031,3046,3184,2753,2395,1820,2442,2107,2727,2457
10456,12522,31122,25526,11449,10771,37699,33413,48598,15832,14504,9387,11863,14412,14842,14982,9670,18254,25532,10123,11771,15904,12635,29990,9630,16470,19932,11891,13191,18338,25571,23074,16612,6663,14336,10620,12026,9778,12785,17391,9649,12841,27187,18525,14806,10419,15091,16393,27167,16235,17840,31620,24057,9209,10150,11625,24453,7421,22973,11918